object_id,image_file,source,source_url,license
E001,刚体\E001\Black_chocolate_candy_ball.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E002,刚体\E002\Pringles_can.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E003,刚体\E003\Spam_canned_meat.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E004,柔性\E004\Orange_drinking_straw.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E005,柔性\E005\Small_paper_cup.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E006,柔性\E006\Medium_paper_cup.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E007,柔性\E007\Medium_plastic_cup.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E008,重脆\E008\Blueberry_jam_jar_Empty.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E009,柔性\E009\Small_lime.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E010,刚体\E010\Supplement_bottle_Fish_oil.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E011,刚体\E011\Supplement_bottle_CoQ10.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E012,柔性\E012\Seaweed_snack_package.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E013,柔性\E013\Marshmallow_1_regular.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E014,刚体\E014\Power_adapter.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E015,刚体\E015\Tabletop_mobile_phone_stand.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E016,刚体\E016\Monster_Energy_drink_zero.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E017,刚体\E017\Red_Bull_can_355_ml.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E018,刚体\E018\Multivitamin_bottle_One_A_Day.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E019,刚体\E019\Green_power_bank.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E020,柔性\E020\Roma_tomato_1.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E021,柔性\E021\Roma_tomato_2.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
