层面,object_id,object_name,本地口径,ref_category,ExpForce官方,不一致,备注
A_阈值表手填,FRA001,玻璃水杯(厚壁直筒),易碎,易碎,易碎,,一致
A_阈值表手填,FRA002,玻璃水杯(薄壁),易碎,易碎,易碎,,一致
A_阈值表手填,FRA003,红酒杯(高脚),易碎,易碎,易碎,,一致
A_阈值表手填,FRA005,玻璃汽水瓶(空),易碎,易碎,易碎,,一致
A_阈值表手填,FRA006,"玻璃蜂蜜罐(空,带盖)",易碎,易碎,易碎,,一致
A_阈值表手填,FRA010,陶瓷马克杯,易碎,易碎,易碎,,一致
A_阈值表手填,FRA016,纸杯(单个),易碎,柔性,柔性,是,手填vs参照不一致
A_阈值表手填,FRA019,袋装整片薯片(未开封),易碎,易碎,易碎,,一致
A_阈值表手填,FRA024,生鸡蛋,易碎,易碎,易碎,,一致
A_阈值表手填,FRA025,皮蛋,易碎,易碎,易碎,,一致
A_阈值表手填,FRA032,"玻璃酱菜瓶(空,带盖)",易碎,易碎,易碎,,一致
A_阈值表手填,FRA039,薄壁塑料杯(一次性),易碎,柔性,柔性,是,手填vs参照不一致
A_阈值表手填,FRA048,Pocky饼干棒(盒装),易碎,刚体,刚体,是,手填vs参照不一致
A_阈值表手填,FRA051,咸鸭蛋(生),易碎,易碎,易碎,,一致
A_阈值表手填,SOF001,香蕉,柔性,柔性,柔性,,一致
A_阈值表手填,SOF002,橙子,柔性,柔性,柔性,,一致
A_阈值表手填,SOF003,番茄,柔性,柔性,柔性,,一致
A_阈值表手填,SOF004,草莓,柔性,柔性,柔性,,一致
A_阈值表手填,SOF005,葡萄(整串),柔性,柔性,柔性,,一致
A_阈值表手填,SOF008,柠檬,柔性,柔性,柔性,,一致
A_阈值表手填,SOF009,圣女果,柔性,柔性,柔性,,一致
A_阈值表手填,SOF013,青椒,柔性,柔性,柔性,,一致
A_阈值表手填,SOF030,棉花糖,柔性,柔性,柔性,,一致
A_阈值表手填,SOF031,梨,柔性,柔性,柔性,,一致
A_阈值表手填,SOF053,软糖(袋装),柔性,刚体,刚体,是,手填vs参照不一致
A_阈值表手填,RIG001,易拉罐(满),刚体,刚体,刚体,,一致
A_阈值表手填,RIG004,洗发水瓶(满),刚体,刚体,刚体,,一致
A_阈值表手填,RIG005,午餐肉罐头,刚体,刚体,刚体,,一致
A_阈值表手填,RIG006,咖啡罐(铁),刚体,刚体,刚体,,一致
A_阈值表手填,RIG008,薯片罐(未开封),刚体,刚体,刚体,,一致
A_阈值表手填,RIG013,胶带卷,刚体,刚体,刚体,,一致
A_阈值表手填,RIG016,充电宝,刚体,刚体,刚体,,一致
A_阈值表手填,RIG017,遥控器,刚体,刚体,刚体,,一致
A_阈值表手填,RIG024,硬塑料运动壶,刚体,刚体,刚体,,一致
A_阈值表手填,RIG025,喷雾瓶,刚体,刚体,刚体,,一致
A_阈值表手填,RIG049,折叠伞(卷好),刚体,刚体,刚体,,一致
A_阈值表手填,RIG054,硬塑料调料瓶,刚体,刚体,刚体,,一致
A_阈值表手填,RIG055,方糖盒,刚体,刚体,刚体,,一致
A_阈值表手填,RIG057,谷物早餐盒,刚体,刚体,刚体,,一致
A_阈值表手填,RIG058,罐装八宝粥,刚体,刚体,刚体,,一致
A_阈值表手填,RIG059,挂耳咖啡盒,刚体,刚体,刚体,,一致
